1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,
86,338,460,666,838,1387,1830,2317,3052,3433,
3,10,24,36,63,83,106,140,181,229,
42,91,92,152,246,358,504,627,846,1032,
2,1,3,3,5,10,10,11,9,5,
40,121,237,381,650,924,1271,1620,2084,2508,
67,125,256,459,723,1007,1409,1836,2320,2833,
